Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Sexo;Edad;Grado de urbanización;Periodo;Total
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;Menos de 16 años;Área poblada nivel intermedio;2022;23.649
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;Menos de 16 años;Área poblada nivel intermedio;2021;24.161
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;Menos de 16 años;Área poco poblada;2025;5.438
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;Menos de 16 años;Área poco poblada;2024;5.547
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;Menos de 16 años;Área poco poblada;2023;5.659
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;Menos de 16 años;Área poco poblada;2022;5.719
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;Menos de 16 años;Área poco poblada;2021;5.757
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;De 16 a 64 años;Total;2025;155.453
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;De 16 a 64 años;Total;2024;155.434
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;De 16 a 64 años;Total;2023;155.551
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;De 16 a 64 años;Total;2022;155.604
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;De 16 a 64 años;Total;2021;156.550
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;De 16 a 64 años;Área densamente poblada;2025;25.528
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;De 16 a 64 años;Área densamente poblada;2024;25.575
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;De 16 a 64 años;Área densamente poblada;2023;25.531
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;De 16 a 64 años;Área densamente poblada;2022;25.411
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;De 16 a 64 años;Área densamente poblada;2021;25.701
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;De 16 a 64 años;Área poblada nivel intermedio;2025;101.717
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;De 16 a 64 años;Área poblada nivel intermedio;2024;101.374
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;De 16 a 64 años;Área poblada nivel intermedio;2023;101.376
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;De 16 a 64 años;Área poblada nivel intermedio;2022;101.450
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;De 16 a 64 años;Área poblada nivel intermedio;2021;101.973
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;De 16 a 64 años;Área poco poblada;2025;28.208
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;De 16 a 64 años;Área poco poblada;2024;28.485
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;De 16 a 64 años;Área poco poblada;2023;28.644
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;De 16 a 64 años;Área poco poblada;2022;28.743
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;De 16 a 64 años;Área poco poblada;2021;28.876
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;65 y más años;Total;2025;60.508
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;65 y más años;Total;2024;59.112
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;65 y más años;Total;2023;58.017
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;65 y más años;Total;2022;57.103
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;65 y más años;Total;2021;56.574
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;65 y más años;Área densamente poblada;2025;9.208
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;65 y más años;Área densamente poblada;2024;8.826
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;65 y más años;Área densamente poblada;2023;8.526
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;65 y más años;Área densamente poblada;2022;8.260
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;65 y más años;Área densamente poblada;2021;8.059
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;65 y más años;Área poblada nivel intermedio;2025;37.139
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;65 y más años;Área poblada nivel intermedio;2024;36.261
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;65 y más años;Área poblada nivel intermedio;2023;35.473
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;65 y más años;Área poblada nivel intermedio;2022;34.881
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;65 y más años;Área poblada nivel intermedio;2021;34.557
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;65 y más años;Área poco poblada;2025;14.161
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;65 y más años;Área poco poblada;2024;14.025
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;65 y más años;Área poco poblada;2023;14.018
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;65 y más años;Área poco poblada;2022;13.962
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;65 y más años;Área poco poblada;2021;13.958
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Todas las edades;Total;2025;199.859
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Todas las edades;Total;2024;199.025
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Todas las edades;Total;2023;198.436
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Todas las edades;Total;2022;196.640
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Todas las edades;Total;2021;196.510
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Todas las edades;Área densamente poblada;2025;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Todas las edades;Área densamente poblada;2024;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Todas las edades;Área densamente poblada;2023;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Todas las edades;Área densamente poblada;2022;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Todas las edades;Área densamente poblada;2021;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Todas las edades;Área poblada nivel intermedio;2025;104.426
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Todas las edades;Área poblada nivel intermedio;2024;103.761
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Todas las edades;Área poblada nivel intermedio;2023;103.309
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Todas las edades;Área poblada nivel intermedio;2022;102.916
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Todas las edades;Área poblada nivel intermedio;2021;103.254
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Todas las edades;Área poco poblada;2025;95.433
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Todas las edades;Área poco poblada;2024;95.264
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Todas las edades;Área poco poblada;2023;95.127
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Todas las edades;Área poco poblada;2022;93.724
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Todas las edades;Área poco poblada;2021;93.256
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Menos de 16 años;Total;2025;25.457
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Menos de 16 años;Total;2024;25.379
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Menos de 16 años;Total;2023;25.661
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Menos de 16 años;Total;2022;25.654
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Menos de 16 años;Total;2021;25.930
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Menos de 16 años;Área densamente poblada;2025;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Menos de 16 años;Área densamente poblada;2024;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Menos de 16 años;Área densamente poblada;2023;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Menos de 16 años;Área densamente poblada;2022;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Menos de 16 años;Área densamente poblada;2021;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Menos de 16 años;Área poblada nivel intermedio;2025;15.427
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Menos de 16 años;Área poblada nivel intermedio;2024;15.533
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Menos de 16 años;Área poblada nivel intermedio;2023;15.722
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Menos de 16 años;Área poblada nivel intermedio;2022;15.821
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Menos de 16 años;Área poblada nivel intermedio;2021;16.077
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Menos de 16 años;Área poco poblada;2025;10.030
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Menos de 16 años;Área poco poblada;2024;9.846
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Menos de 16 años;Área poco poblada;2023;9.939
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Menos de 16 años;Área poco poblada;2022;9.833
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Menos de 16 años;Área poco poblada;2021;9.853
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;De 16 a 64 años;Total;2025;127.236
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;De 16 a 64 años;Total;2024;127.295
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;De 16 a 64 años;Total;2023;127.096
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;De 16 a 64 años;Total;2022;125.813
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;De 16 a 64 años;Total;2021;125.674
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;De 16 a 64 años;Área densamente poblada;2025;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;De 16 a 64 años;Área densamente poblada;2024;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;De 16 a 64 años;Área densamente poblada;2023;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;De 16 a 64 años;Área densamente poblada;2022;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;De 16 a 64 años;Área densamente poblada;2021;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;De 16 a 64 años;Área poblada nivel intermedio;2025;68.505
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;De 16 a 64 años;Área poblada nivel intermedio;2024;68.325
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;De 16 a 64 años;Área poblada nivel intermedio;2023;68.222
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;De 16 a 64 años;Área poblada nivel intermedio;2022;68.114
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;De 16 a 64 años;Área poblada nivel intermedio;2021;68.482
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;De 16 a 64 años;Área poco poblada;2025;58.731
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;De 16 a 64 años;Área poco poblada;2024;58.970
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;De 16 a 64 años;Área poco poblada;2023;58.874
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;De 16 a 64 años;Área poco poblada;2022;57.699
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;De 16 a 64 años;Área poco poblada;2021;57.192
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;65 y más años;Total;2025;47.166
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;65 y más años;Total;2024;46.351
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;65 y más años;Total;2023;45.679
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;65 y más años;Total;2022;45.173
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;65 y más años;Total;2021;44.906
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;65 y más años;Área densamente poblada;2025;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;65 y más años;Área densamente poblada;2024;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;65 y más años;Área densamente poblada;2023;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;65 y más años;Área densamente poblada;2022;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;65 y más años;Área densamente poblada;2021;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;65 y más años;Área poblada nivel intermedio;2025;20.494
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;65 y más años;Área poblada nivel intermedio;2024;19.903
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;65 y más años;Área poblada nivel intermedio;2023;19.365
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;65 y más años;Área poblada nivel intermedio;2022;18.981
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;65 y más años;Área poblada nivel intermedio;2021;18.695
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;65 y más años;Área poco poblada;2025;26.672
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;65 y más años;Área poco poblada;2024;26.448
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;65 y más años;Área poco poblada;2023;26.314
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;65 y más años;Área poco poblada;2022;26.192
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;65 y más años;Área poco poblada;2021;26.211
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Todas las edades;Total;2025;100.975
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Todas las edades;Total;2024;100.365
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Todas las edades;Total;2023;99.934
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Todas las edades;Total;2022;98.835
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Todas las edades;Total;2021;98.748
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Todas las edades;Área densamente poblada;2025;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Todas las edades;Área densamente poblada;2024;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Todas las edades;Área densamente poblada;2023;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Todas las edades;Área densamente poblada;2022;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Todas las edades;Área densamente poblada;2021;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Todas las edades;Área poblada nivel intermedio;2025;50.987
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Todas las edades;Área poblada nivel intermedio;2024;50.634
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Todas las edades;Área poblada nivel intermedio;2023;50.356
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Todas las edades;Área poblada nivel intermedio;2022;50.161
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Todas las edades;Área poblada nivel intermedio;2021;50.389
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Todas las edades;Área poco poblada;2025;49.988
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Todas las edades;Área poco poblada;2024;49.731
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Todas las edades;Área poco poblada;2023;49.578
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Todas las edades;Área poco poblada;2022;48.674
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Todas las edades;Área poco poblada;2021;48.359
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Menos de 16 años;Total;2025;13.029
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Menos de 16 años;Total;2024;12.999
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Menos de 16 años;Total;2023;13.122
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Menos de 16 años;Total;2022;13.052
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Menos de 16 años;Total;2021;13.204
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Menos de 16 años;Área densamente poblada;2025;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Menos de 16 años;Área densamente poblada;2024;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Menos de 16 años;Área densamente poblada;2023;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Menos de 16 años;Área densamente poblada;2022;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Menos de 16 años;Área densamente poblada;2021;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Menos de 16 años;Área poblada nivel intermedio;2025;7.918
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Menos de 16 años;Área poblada nivel intermedio;2024;8.004
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Menos de 16 años;Área poblada nivel intermedio;2023;8.107
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Menos de 16 años;Área poblada nivel intermedio;2022;8.145
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Menos de 16 años;Área poblada nivel intermedio;2021;8.258
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Menos de 16 años;Área poco poblada;2025;5.111
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Menos de 16 años;Área poco poblada;2024;4.995
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Menos de 16 años;Área poco poblada;2023;5.015
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Menos de 16 años;Área poco poblada;2022;4.907
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Menos de 16 años;Área poco poblada;2021;4.946
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;De 16 a 64 años;Total;2025;66.261
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;De 16 a 64 años;Total;2024;66.154
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;De 16 a 64 años;Total;2023;66.096
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;De 16 a 64 años;Total;2022;65.290
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;De 16 a 64 años;Total;2021;65.275
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;De 16 a 64 años;Área densamente poblada;2025;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;De 16 a 64 años;Área densamente poblada;2024;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;De 16 a 64 años;Área densamente poblada;2023;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;De 16 a 64 años;Área densamente poblada;2022;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;De 16 a 64 años;Área densamente poblada;2021;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;De 16 a 64 años;Área poblada nivel intermedio;2025;34.181
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;De 16 a 64 años;Área poblada nivel intermedio;2024;34.019
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;De 16 a 64 años;Área poblada nivel intermedio;2023;33.906
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;De 16 a 64 años;Área poblada nivel intermedio;2022;33.841
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;De 16 a 64 años;Área poblada nivel intermedio;2021;34.085
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;De 16 a 64 años;Área poco poblada;2025;32.080
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;De 16 a 64 años;Área poco poblada;2024;32.135
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;De 16 a 64 años;Área poco poblada;2023;32.190
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;De 16 a 64 años;Área poco poblada;2022;31.449
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;De 16 a 64 años;Área poco poblada;2021;31.190
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;65 y más años;Total;2025;21.685
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;65 y más años;Total;2024;21.212
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;65 y más años;Total;2023;20.716
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;65 y más años;Total;2022;20.493
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;65 y más años;Total;2021;20.269
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;65 y más años;Área densamente poblada;2025;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;65 y más años;Área densamente poblada;2024;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;65 y más años;Área densamente poblada;2023;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;65 y más años;Área densamente poblada;2022;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;65 y más años;Área densamente poblada;2021;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;65 y más años;Área poblada nivel intermedio;2025;8.888
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;65 y más años;Área poblada nivel intermedio;2024;8.611
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;65 y más años;Área poblada nivel intermedio;2023;8.343
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;65 y más años;Área poblada nivel intermedio;2022;8.175
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;65 y más años;Área poblada nivel intermedio;2021;8.046
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;65 y más años;Área poco poblada;2025;12.797
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;65 y más años;Área poco poblada;2024;12.601
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;65 y más años;Área poco poblada;2023;12.373
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;65 y más años;Área poco poblada;2022;12.318
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;65 y más años;Área poco poblada;2021;12.223
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Todas las edades;Total;2025;98.884
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Todas las edades;Total;2024;98.660
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Todas las edades;Total;2023;98.502
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Todas las edades;Total;2022;97.805
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Todas las edades;Total;2021;97.762
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Todas las edades;Área densamente poblada;2025;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Todas las edades;Área densamente poblada;2024;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Todas las edades;Área densamente poblada;2023;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Todas las edades;Área densamente poblada;2022;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Todas las edades;Área densamente poblada;2021;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Todas las edades;Área poblada nivel intermedio;2025;53.439
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Todas las edades;Área poblada nivel intermedio;2024;53.127
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Todas las edades;Área poblada nivel intermedio;2023;52.953
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Todas las edades;Área poblada nivel intermedio;2022;52.755
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Todas las edades;Área poblada nivel intermedio;2021;52.865
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Todas las edades;Área poco poblada;2025;45.445
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Todas las edades;Área poco poblada;2024;45.533
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Todas las edades;Área poco poblada;2023;45.549
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Todas las edades;Área poco poblada;2022;45.050
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Todas las edades;Área poco poblada;2021;44.897
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Menos de 16 años;Total;2025;12.428
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Menos de 16 años;Total;2024;12.380
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Menos de 16 años;Total;2023;12.539
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Menos de 16 años;Total;2022;12.602
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Menos de 16 años;Total;2021;12.726
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Menos de 16 años;Área densamente poblada;2025;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Menos de 16 años;Área densamente poblada;2024;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Menos de 16 años;Área densamente poblada;2023;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Menos de 16 años;Área densamente poblada;2022;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Menos de 16 años;Área densamente poblada;2021;0
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Menos de 16 años;Área poblada nivel intermedio;2025;7.509
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Menos de 16 años;Área poblada nivel intermedio;2024;7.529
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Menos de 16 años;Área poblada nivel intermedio;2023;7.615
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Menos de 16 años;Área poblada nivel intermedio;2022;7.676
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Menos de 16 años;Área poblada nivel intermedio;2021;7.819
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Menos de 16 años;Área poco poblada;2025;4.919
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Menos de 16 años;Área poco poblada;2024;4.851
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Menos de 16 años;Área poco poblada;2023;4.924
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Menos de 16 años;Área poco poblada;2022;4.926
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Menos de 16 años;Área poco poblada;2021;4.907
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;De 16 a 64 años;Total;2025;60.975
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;De 16 a 64 años;Total;2024;61.141
