Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Sexo;Edad;Grado de urbanización;Periodo;Total
Total Nacional;;;Mujeres;Todas las edades;Total;2021;24.152.187
Total Nacional;;;Mujeres;Todas las edades;Área densamente poblada;2025;14.008.984
Total Nacional;;;Mujeres;Todas las edades;Área densamente poblada;2024;13.861.074
Total Nacional;;;Mujeres;Todas las edades;Área densamente poblada;2023;13.684.316
Total Nacional;;;Mujeres;Todas las edades;Área densamente poblada;2022;13.488.553
Total Nacional;;;Mujeres;Todas las edades;Área densamente poblada;2021;13.505.279
Total Nacional;;;Mujeres;Todas las edades;Área poblada nivel intermedio;2025;7.904.005
Total Nacional;;;Mujeres;Todas las edades;Área poblada nivel intermedio;2024;7.818.762
Total Nacional;;;Mujeres;Todas las edades;Área poblada nivel intermedio;2023;7.730.608
Total Nacional;;;Mujeres;Todas las edades;Área poblada nivel intermedio;2022;7.624.840
Total Nacional;;;Mujeres;Todas las edades;Área poblada nivel intermedio;2021;7.573.991
Total Nacional;;;Mujeres;Todas las edades;Área poco poblada;2025;3.124.939
Total Nacional;;;Mujeres;Todas las edades;Área poco poblada;2024;3.112.988
Total Nacional;;;Mujeres;Todas las edades;Área poco poblada;2023;3.104.844
Total Nacional;;;Mujeres;Todas las edades;Área poco poblada;2022;3.084.587
Total Nacional;;;Mujeres;Todas las edades;Área poco poblada;2021;3.072.917
Total Nacional;;;Mujeres;Menos de 16 años;Total;2025;3.338.964
Total Nacional;;;Mujeres;Menos de 16 años;Total;2024;3.385.367
Total Nacional;;;Mujeres;Menos de 16 años;Total;2023;3.423.717
Total Nacional;;;Mujeres;Menos de 16 años;Total;2022;3.442.634
Total Nacional;;;Mujeres;Menos de 16 años;Total;2021;3.499.133
Total Nacional;;;Mujeres;Menos de 16 años;Área densamente poblada;2025;1.815.356
Total Nacional;;;Mujeres;Menos de 16 años;Área densamente poblada;2024;1.842.523
Total Nacional;;;Mujeres;Menos de 16 años;Área densamente poblada;2023;1.863.064
Total Nacional;;;Mujeres;Menos de 16 años;Área densamente poblada;2022;1.875.120
Total Nacional;;;Mujeres;Menos de 16 años;Área densamente poblada;2021;1.914.255
Total Nacional;;;Mujeres;Menos de 16 años;Área poblada nivel intermedio;2025;1.143.529
Total Nacional;;;Mujeres;Menos de 16 años;Área poblada nivel intermedio;2024;1.159.912
Total Nacional;;;Mujeres;Menos de 16 años;Área poblada nivel intermedio;2023;1.173.327
Total Nacional;;;Mujeres;Menos de 16 años;Área poblada nivel intermedio;2022;1.179.744
Total Nacional;;;Mujeres;Menos de 16 años;Área poblada nivel intermedio;2021;1.194.844
Total Nacional;;;Mujeres;Menos de 16 años;Área poco poblada;2025;380.079
Total Nacional;;;Mujeres;Menos de 16 años;Área poco poblada;2024;382.932
Total Nacional;;;Mujeres;Menos de 16 años;Área poco poblada;2023;387.326
Total Nacional;;;Mujeres;Menos de 16 años;Área poco poblada;2022;387.770
Total Nacional;;;Mujeres;Menos de 16 años;Área poco poblada;2021;390.034
Total Nacional;;;Mujeres;De 16 a 64 años;Total;2025;15.963.304
Total Nacional;;;Mujeres;De 16 a 64 años;Total;2024;15.805.558
Total Nacional;;;Mujeres;De 16 a 64 años;Total;2023;15.621.815
Total Nacional;;;Mujeres;De 16 a 64 años;Total;2022;15.391.447
Total Nacional;;;Mujeres;De 16 a 64 años;Total;2021;15.380.327
Total Nacional;;;Mujeres;De 16 a 64 años;Área densamente poblada;2025;8.960.551
Total Nacional;;;Mujeres;De 16 a 64 años;Área densamente poblada;2024;8.860.063
Total Nacional;;;Mujeres;De 16 a 64 años;Área densamente poblada;2023;8.737.190
Total Nacional;;;Mujeres;De 16 a 64 años;Área densamente poblada;2022;8.592.511
Total Nacional;;;Mujeres;De 16 a 64 años;Área densamente poblada;2021;8.618.345
Total Nacional;;;Mujeres;De 16 a 64 años;Área poblada nivel intermedio;2025;5.118.402
Total Nacional;;;Mujeres;De 16 a 64 años;Área poblada nivel intermedio;2024;5.066.382
Total Nacional;;;Mujeres;De 16 a 64 años;Área poblada nivel intermedio;2023;5.010.527
Total Nacional;;;Mujeres;De 16 a 64 años;Área poblada nivel intermedio;2022;4.939.285
Total Nacional;;;Mujeres;De 16 a 64 años;Área poblada nivel intermedio;2021;4.911.174
Total Nacional;;;Mujeres;De 16 a 64 años;Área poco poblada;2025;1.884.351
Total Nacional;;;Mujeres;De 16 a 64 años;Área poco poblada;2024;1.879.113
Total Nacional;;;Mujeres;De 16 a 64 años;Área poco poblada;2023;1.874.098
Total Nacional;;;Mujeres;De 16 a 64 años;Área poco poblada;2022;1.859.651
Total Nacional;;;Mujeres;De 16 a 64 años;Área poco poblada;2021;1.850.808
Total Nacional;;;Mujeres;65 y más años;Total;2025;5.735.660
Total Nacional;;;Mujeres;65 y más años;Total;2024;5.601.899
Total Nacional;;;Mujeres;65 y más años;Total;2023;5.474.236
Total Nacional;;;Mujeres;65 y más años;Total;2022;5.363.899
Total Nacional;;;Mujeres;65 y más años;Total;2021;5.272.727
Total Nacional;;;Mujeres;65 y más años;Área densamente poblada;2025;3.233.077
Total Nacional;;;Mujeres;65 y más años;Área densamente poblada;2024;3.158.488
Total Nacional;;;Mujeres;65 y más años;Área densamente poblada;2023;3.084.062
Total Nacional;;;Mujeres;65 y más años;Área densamente poblada;2022;3.020.922
Total Nacional;;;Mujeres;65 y más años;Área densamente poblada;2021;2.972.679
Total Nacional;;;Mujeres;65 y más años;Área poblada nivel intermedio;2025;1.642.074
Total Nacional;;;Mujeres;65 y más años;Área poblada nivel intermedio;2024;1.592.468
Total Nacional;;;Mujeres;65 y más años;Área poblada nivel intermedio;2023;1.546.754
Total Nacional;;;Mujeres;65 y más años;Área poblada nivel intermedio;2022;1.505.811
Total Nacional;;;Mujeres;65 y más años;Área poblada nivel intermedio;2021;1.467.973
Total Nacional;;;Mujeres;65 y más años;Área poco poblada;2025;860.509
Total Nacional;;;Mujeres;65 y más años;Área poco poblada;2024;850.943
Total Nacional;;;Mujeres;65 y más años;Área poco poblada;2023;843.420
Total Nacional;;;Mujeres;65 y más años;Área poco poblada;2022;837.166
Total Nacional;;;Mujeres;65 y más años;Área poco poblada;2021;832.075
Total Nacional;01 Andalucía;;Total;Todas las edades;Total;2025;8.676.713
Total Nacional;01 Andalucía;;Total;Todas las edades;Total;2024;8.631.862
Total Nacional;01 Andalucía;;Total;Todas las edades;Total;2023;8.584.147
Total Nacional;01 Andalucía;;Total;Todas las edades;Total;2022;8.511.167
Total Nacional;01 Andalucía;;Total;Todas las edades;Total;2021;8.484.804
Total Nacional;01 Andalucía;;Total;Todas las edades;Área densamente poblada;2025;4.099.457
Total Nacional;01 Andalucía;;Total;Todas las edades;Área densamente poblada;2024;4.080.291
Total Nacional;01 Andalucía;;Total;Todas las edades;Área densamente poblada;2023;4.057.127
Total Nacional;01 Andalucía;;Total;Todas las edades;Área densamente poblada;2022;4.021.959
Total Nacional;01 Andalucía;;Total;Todas las edades;Área densamente poblada;2021;4.024.247
Total Nacional;01 Andalucía;;Total;Todas las edades;Área poblada nivel intermedio;2025;3.589.863
Total Nacional;01 Andalucía;;Total;Todas las edades;Área poblada nivel intermedio;2024;3.565.686
Total Nacional;01 Andalucía;;Total;Todas las edades;Área poblada nivel intermedio;2023;3.541.067
Total Nacional;01 Andalucía;;Total;Todas las edades;Área poblada nivel intermedio;2022;3.505.171
Total Nacional;01 Andalucía;;Total;Todas las edades;Área poblada nivel intermedio;2021;3.477.275
Total Nacional;01 Andalucía;;Total;Todas las edades;Área poco poblada;2025;987.393
Total Nacional;01 Andalucía;;Total;Todas las edades;Área poco poblada;2024;985.885
Total Nacional;01 Andalucía;;Total;Todas las edades;Área poco poblada;2023;985.953
Total Nacional;01 Andalucía;;Total;Todas las edades;Área poco poblada;2022;984.037
Total Nacional;01 Andalucía;;Total;Todas las edades;Área poco poblada;2021;983.282
Total Nacional;01 Andalucía;;Total;Menos de 16 años;Total;2025;1.290.298
Total Nacional;01 Andalucía;;Total;Menos de 16 años;Total;2024;1.318.161
Total Nacional;01 Andalucía;;Total;Menos de 16 años;Total;2023;1.341.643
Total Nacional;01 Andalucía;;Total;Menos de 16 años;Total;2022;1.360.186
Total Nacional;01 Andalucía;;Total;Menos de 16 años;Total;2021;1.383.023
Total Nacional;01 Andalucía;;Total;Menos de 16 años;Área densamente poblada;2025;600.382
Total Nacional;01 Andalucía;;Total;Menos de 16 años;Área densamente poblada;2024;616.082
Total Nacional;01 Andalucía;;Total;Menos de 16 años;Área densamente poblada;2023;628.969
Total Nacional;01 Andalucía;;Total;Menos de 16 años;Área densamente poblada;2022;639.827
Total Nacional;01 Andalucía;;Total;Menos de 16 años;Área densamente poblada;2021;654.198
Total Nacional;01 Andalucía;;Total;Menos de 16 años;Área poblada nivel intermedio;2025;561.344
Total Nacional;01 Andalucía;;Total;Menos de 16 años;Área poblada nivel intermedio;2024;572.289
Total Nacional;01 Andalucía;;Total;Menos de 16 años;Área poblada nivel intermedio;2023;581.338
Total Nacional;01 Andalucía;;Total;Menos de 16 años;Área poblada nivel intermedio;2022;588.119
Total Nacional;01 Andalucía;;Total;Menos de 16 años;Área poblada nivel intermedio;2021;595.200
Total Nacional;01 Andalucía;;Total;Menos de 16 años;Área poco poblada;2025;128.572
Total Nacional;01 Andalucía;;Total;Menos de 16 años;Área poco poblada;2024;129.790
Total Nacional;01 Andalucía;;Total;Menos de 16 años;Área poco poblada;2023;131.336
Total Nacional;01 Andalucía;;Total;Menos de 16 años;Área poco poblada;2022;132.240
Total Nacional;01 Andalucía;;Total;Menos de 16 años;Área poco poblada;2021;133.625
Total Nacional;01 Andalucía;;Total;De 16 a 64 años;Total;2025;5.726.826
Total Nacional;01 Andalucía;;Total;De 16 a 64 años;Total;2024;5.700.488
Total Nacional;01 Andalucía;;Total;De 16 a 64 años;Total;2023;5.674.464
Total Nacional;01 Andalucía;;Total;De 16 a 64 años;Total;2022;5.623.793
Total Nacional;01 Andalucía;;Total;De 16 a 64 años;Total;2021;5.606.143
